员工所属部门,员工数,实际人天,预估人天,理论人天,实际人均人天,预估人均人天,理论人均人天,部门实际人均人天,实际-预估差,实际-理论差,预估填报率,理论填报率,预估填报,理论填报
创新业务部,1,0,19,19,0,19,19,12.5,-19,-19,0,0,不满,不满
创新与赋能中心,6,87,104,118,14.5,17.3,19.7,12.5,-17,-31,83.7,73.7,合理,不满
海外智能终端与应用,11,154,209,209,14,19,19,12.5,-55,-55,73.7,73.7,不满,不满
新零售业务,14,121.2,265,266,8.7,18.9,19,12.5,-143.8,-144.8,45.7,45.6,不满,不满
亚太研发中心,12,169,226,228,14.1,18.8,19,12.5,-57,-59,74.8,74.1,不满,不满
亚太云平台,9,102,200,171,11.3,22.2,19,12.5,-98,-69,51,59.6,不满,不满
智慧体育业务,9,0,153,173,0,17,19.2,12.5,-153,-173,0,0,不满,不满
智慧娱乐,23,347,396,451,15.1,17.2,19.6,12.5,-49,-104,87.6,76.9,合理,不满
中东云平台,34,507,796,648,14.9,23.4,19.1,12.5,-289,-141,63.7,78.2,不满,不满
Total,119,1487.2,2368,2283,12.5,19.9,19.2,12.5,-880.8,-795.8,62.8,65.1,不满,不满